date,1. open,2. high,3. low,4. close,5. volume
1999-11-01,158.75,158.75,155.75,155.88,122900
1999-11-02,156.69,158.69,156.69,158.44,73600
1999-11-03,159.0,160.25,158.0,159.06,198700
1999-11-04,159.75,161.69,159.75,160.25,128400
1999-11-05,162.62,165.69,162.62,164.69,241300
1999-11-08,164.0,164.94,163.31,164.75,168200
1999-11-09,170.5,170.88,169.81,170.0,165400
1999-11-10,173.94,177.0,173.75,176.19,187900
1999-11-11,175.25,175.25,174.31,174.81,107200
1999-11-12,175.5,177.25,175.5,176.5,105300
1999-11-15,178.62,180.06,178.62,179.06,116000
1999-11-16,179.5,181.5,179.25,180.94,246200
1999-11-17,178.0,179.5,177.75,177.94,206900
1999-11-18,175.75,177.0,175.62,176.75,385900
1999-11-19,176.62,176.62,175.5,176.62,136000
1999-11-22,178.0,180.69,177.94,180.56,223500
1999-11-23,180.06,180.19,178.56,180.0,117000
1999-11-24,179.75,183.0,179.75,182.19,145900
1999-11-26,184.88,186.0,183.38,185.94,139000
1999-11-29,188.75,192.0,187.38,191.75,265900
1999-11-30,188.12,188.19,184.12,184.19,244800
1999-12-01,180.5,182.62,180.5,182.62,180200
1999-12-02,177.38,180.75,177.38,180.75,176700
1999-12-03,180.0,184.75,178.5,183.12,291300
1999-12-06,181.5,182.44,180.75,181.12,193500
1999-12-07,182.62,185.0,182.5,183.62,157600
1999-12-08,181.0,181.19,180.12,180.44,103000
1999-12-09,181.12,189.0,181.12,186.75,367900
1999-12-10,187.75,191.97,186.75,187.31,201100
1999-12-13,187.56,187.56,184.62,185.44,138600
1999-12-14,187.12,187.5,185.0,186.25,206700
1999-12-15,186.06,186.69,184.31,185.94,189700
1999-12-16,187.25,188.75,186.38,187.94,107100
1999-12-17,198.0,202.5,197.06,202.12,233200
1999-12-20,206.0,213.69,205.75,209.88,468600
1999-12-21,210.5,211.5,208.12,211.31,173900
1999-12-22,231.0,232.0,227.88,230.38,472500
1999-12-23,230.38,236.56,230.19,236.5,247900
1999-12-27,241.0,260.0,241.0,254.69,578800
1999-12-28,260.12,269.5,260.0,267.5,646300
1999-12-29,280.5,281.5,277.0,281.38,518600
1999-12-30,295.88,295.88,289.0,289.94,310800
1999-12-31,290.0,290.0,284.75,284.75,183400
2000-01-03,285.25,291.69,267.06,276.5,1293500
2000-01-04,281.0,287.5,270.0,270.0,1509800
2000-01-05,258.0,258.38,234.06,250.0,1543400
2000-01-06,226.5,227.0,208.5,216.0,1961300
2000-01-07,224.0,234.38,221.56,234.38,1122000
2000-01-10,252.75,252.75,237.5,250.0,1148800
2000-01-11,245.0,245.0,232.0,232.5,853600
2000-01-12,238.25,239.88,219.0,225.62,1095100
2000-01-13,232.88,232.88,227.5,230.31,482600
2000-01-14,230.5,233.44,222.75,227.0,641600
2000-01-18,225.75,231.69,225.38,231.12,461500
2000-01-19,221.94,225.69,220.75,225.38,260300
2000-01-20,225.62,230.0,225.62,228.0,226300
2000-01-21,232.12,235.75,229.38,235.0,258400
2000-01-24,241.62,243.88,233.25,233.38,317100
2000-01-25,236.5,239.25,233.62,239.25,268600
2000-01-26,246.5,248.0,242.19,245.25,377700
2000-01-27,247.5,249.5,244.31,246.75,221300
2000-01-28,250.56,256.25,241.75,243.06,344200
2000-01-31,249.12,253.94,246.25,253.0,314100
2000-02-01,252.94,253.94,250.12,253.38,203900
2000-02-02,254.5,259.5,254.5,259.44,274100
2000-02-03,263.0,263.88,259.5,262.75,298100
2000-02-04,264.0,270.75,264.0,269.31,515200
2000-02-07,274.94,277.94,272.75,277.88,255300
2000-02-08,269.12,274.62,267.12,273.5,420300
2000-02-09,270.88,271.5,267.12,267.62,239400
2000-02-10,265.69,267.38,264.0,267.0,160500
2000-02-11,265.0,266.0,260.0,261.12,112500
2000-02-14,258.0,258.0,254.69,256.31,194200
2000-02-15,255.94,258.44,252.0,258.0,194900
2000-02-16,254.75,254.75,250.0,250.56,256900
2000-02-17,260.0,264.44,260.0,262.0,303400
2000-02-18,268.75,274.25,267.38,267.38,436500
2000-02-22,273.0,277.75,271.5,274.06,423000
2000-02-23,272.0,280.88,272.0,280.88,299300
2000-02-24,273.5,280.0,269.06,278.06,462000
2000-02-25,278.06,279.75,275.12,275.88,238300
2000-02-28,279.0,293.69,279.0,289.19,651300
2000-02-29,309.0,314.75,305.0,313.5,804600
2000-03-01,301.0,313.0,300.19,312.0,783300
2000-03-02,303.0,304.5,296.06,299.94,343400
2000-03-03,291.5,299.44,291.06,299.44,340800
2000-03-06,278.62,280.94,270.5,271.88,606100
2000-03-07,272.12,275.94,266.0,267.5,504400
2000-03-08,270.62,278.12,269.0,276.19,425700
2000-03-09,269.88,269.88,250.81,259.06,1016600
2000-03-10,248.25,252.75,239.75,243.75,913500
2000-03-13,218.0,236.88,217.0,225.5,1093900
2000-03-14,242.31,247.44,241.0,241.31,848800
2000-03-15,253.25,255.62,249.06,254.94,660100
2000-03-16,255.5,255.62,245.5,250.0,657800
2000-03-17,249.62,251.94,246.06,248.06,228500
2000-03-20,247.81,249.5,245.31,247.38,155300
2000-03-21,243.12,245.25,241.19,245.25,212400
2000-03-22,246.25,248.94,246.25,248.5,258500
2000-03-23,243.0,243.31,239.56,241.5,210600
2000-03-24,241.44,242.56,239.88,241.81,159200
2000-03-27,246.5,250.88,246.5,248.25,213200
2000-03-28,245.75,249.12,245.69,246.81,153000
2000-03-29,260.0,260.0,254.06,255.44,586200
2000-03-30,265.5,272.38,265.5,268.5,541200
2000-03-31,278.0,281.69,276.06,280.12,354900
2000-04-03,282.5,282.5,274.12,275.12,370100
2000-04-04,276.38,279.38,262.0,268.75,900000
2000-04-05,266.88,267.88,265.06,266.81,367800
2000-04-06,268.5,272.5,267.25,271.44,216100
2000-04-07,268.0,272.62,268.0,272.0,220900
2000-04-10,273.62,274.38,270.0,270.31,201800
2000-04-11,266.5,266.5,262.12,263.0,242200
2000-04-12,263.75,264.94,256.75,257.19,408400
2000-04-13,255.0,256.88,251.5,251.56,261400
2000-04-14,249.25,249.88,233.5,233.5,546900
2000-04-17,229.25,246.5,223.12,246.5,690700
2000-04-18,240.38,244.44,237.12,244.38,664600
2000-04-19,241.25,241.94,237.12,237.12,212300
2000-04-20,239.0,240.94,235.5,236.5,194000
2000-04-24,232.75,234.75,224.0,229.31,412300
2000-04-25,239.25,240.94,237.0,239.12,643800
2000-04-26,238.0,238.44,235.0,235.5,198400
2000-04-27,228.5,233.38,228.5,233.31,247500
2000-04-28,233.0,234.5,223.88,225.62,407900
2000-05-01,227.0,234.81,227.0,231.38,335000
2000-05-02,229.88,229.88,225.06,225.06,169400
2000-05-03,224.19,226.12,218.0,219.75,354600
2000-05-04,221.5,221.5,219.44,219.75,204900
2000-05-05,219.5,223.56,218.0,221.56,457400
2000-05-08,220.25,220.75,216.62,219.31,326000
2000-05-09,215.75,215.75,212.25,213.38,236100
2000-05-10,214.62,216.5,210.0,211.25,375400
2000-05-11,212.75,217.69,211.12,217.44,303600
2000-05-12,217.69,219.12,216.0,219.0,149700
2000-05-15,213.25,216.0,213.06,215.62,153000
2000-05-16,217.38,217.94,215.62,217.38,198800
2000-05-17,214.0,215.88,212.5,213.5,125200
2000-05-18,212.62,212.62,207.06,208.0,212400
2000-05-19,202.5,203.81,195.38,199.44,449300
2000-05-22,190.25,191.75,186.12,189.81,639200
2000-05-23,188.38,190.0,185.5,186.44,301100
2000-05-24,178.5,183.0,178.19,182.5,496400
2000-05-25,93.25,94.38,92.0,92.0,250750
2000-05-26,91.0,91.25,88.75,90.69,207000
2000-05-30,93.5,96.94,93.44,96.88,845700
2000-05-31,91.12,92.5,90.69,91.19,477900
2000-06-01,91.0,91.69,89.0,91.5,562300
2000-06-02,98.88,100.75,97.0,99.0,1048700
2000-06-05,100.0,103.5,100.0,101.62,813800
2000-06-06,103.5,104.94,102.12,102.44,613800
2000-06-07,102.62,104.44,102.62,104.12,187700
2000-06-08,102.75,103.44,101.38,101.88,258800
2000-06-09,100.88,101.44,99.75,100.56,194400
2000-06-12,99.38,99.44,98.5,99.0,160000
2000-06-13,97.75,97.81,96.19,97.56,217300
2000-06-14,94.38,94.62,90.56,90.56,462900
2000-06-15,90.75,91.75,90.31,90.94,345100
2000-06-16,91.94,91.94,90.0,90.25,314500
2000-06-19,91.0,92.56,90.69,91.75,672900
2000-06-20,92.88,94.31,92.5,93.0,676200
2000-06-21,94.5,94.69,93.75,94.31,766600
2000-06-22,96.75,96.94,94.62,94.62,470900
2000-06-23,95.88,95.94,93.56,94.06,174600
2000-06-26,94.0,94.12,92.75,94.12,298000
2000-06-27,93.88,93.94,92.88,93.06,345100
2000-06-28,93.44,93.94,93.0,93.69,378800
2000-06-29,95.0,95.81,93.88,94.69,474800
2000-06-30,94.62,95.44,94.0,94.31,152100
2000-07-03,97.44,98.88,96.81,98.5,177900
2000-07-05,98.94,98.94,97.12,97.25,201000
2000-07-06,100.5,103.56,100.5,103.56,522400
2000-07-07,103.75,104.12,102.38,102.62,435000
2000-07-10,104.0,105.44,103.44,103.75,303800
2000-07-11,100.75,103.25,100.75,102.94,331500
2000-07-12,102.94,102.94,100.0,101.19,339600
2000-07-13,98.12,100.12,98.0,99.25,439800
2000-07-14,100.5,102.31,100.0,101.62,265400
2000-07-17,102.5,104.44,102.44,104.0,273300
2000-07-18,102.5,102.62,98.25,98.38,393000
2000-07-19,100.25,101.0,99.38,99.38,196000
2000-07-20,100.0,103.25,100.0,102.44,339600
2000-07-21,97.38,98.69,97.0,97.38,346100
2000-07-24,95.25,96.19,94.12,94.66,330800
2000-07-25,96.0,96.5,95.38,95.75,176300
2000-07-26,97.25,97.5,96.0,96.62,289800
2000-07-27,94.88,95.06,93.25,94.25,175500
2000-07-28,93.0,93.0,90.44,90.44,172400
2000-07-31,92.5,94.0,92.5,93.94,203200
2000-08-01,92.5,93.19,92.19,92.94,154300
2000-08-02,94.62,95.88,94.56,94.88,159000
2000-08-03,91.0,92.19,90.56,91.0,376000
2000-08-04,92.25,92.94,91.5,92.62,313600
2000-08-07,92.56,93.94,92.5,93.75,396100
2000-08-08,93.5,93.94,93.25,93.69,89300
2000-08-09,93.5,93.88,92.25,93.0,179600
2000-08-10,92.88,93.75,92.69,92.94,250700
2000-08-11,94.75,95.19,94.0,95.0,168400
2000-08-14,94.0,95.31,93.25,95.12,166400
2000-08-15,97.0,97.69,96.5,97.38,239000
2000-08-16,98.5,98.88,98.0,98.25,189200
2000-08-17,97.75,98.12,96.81,97.75,146500
2000-08-18,98.12,98.25,97.38,97.88,120000
2000-08-21,98.5,98.5,96.19,96.44,144800
2000-08-22,96.69,97.38,96.06,97.12,209500
2000-08-23,96.88,100.38,96.88,100.31,226500
2000-08-24,101.12,102.75,101.0,102.75,299400
2000-08-25,102.62,104.75,102.56,104.75,171300
2000-08-28,109.75,113.38,109.75,112.69,736700
2000-08-29,111.5,115.5,111.0,115.5,480800
2000-08-30,109.38,110.88,108.06,110.12,688900
2000-08-31,111.62,115.19,111.44,114.25,466500
2000-09-01,114.5,115.75,114.31,114.88,348600
2000-09-05,109.62,110.0,108.38,109.19,324100
2000-09-06,107.75,108.0,106.0,106.44,272600
2000-09-07,108.62,109.94,107.62,109.69,233700
2000-09-08,109.69,110.19,109.0,109.31,260600
2000-09-11,109.25,110.44,108.75,109.94,417800
2000-09-12,109.88,109.88,108.88,109.19,202900
2000-09-13,108.75,109.44,108.19,109.44,163800
2000-09-14,108.12,108.12,106.56,106.88,158700
2000-09-15,106.88,107.06,105.5,105.56,102900
2000-09-18,108.5,109.69,108.06,108.94,326200
2000-09-19,110.25,113.12,110.25,112.69,293600
2000-09-20,114.25,114.62,113.19,114.44,353500
2000-09-21,115.62,116.31,115.0,116.25,306500
2000-09-22,109.5,112.0,109.31,112.0,355500
2000-09-25,111.38,111.44,109.38,109.44,230400
2000-09-26,109.88,110.19,108.19,109.0,131500
2000-09-27,107.25,107.44,94.06,99.38,1621200
2000-09-28,100.0,105.44,99.62,104.44,1717400
2000-09-29,101.44,101.5,100.06,100.94,340400
2000-10-02,100.94,100.94,97.69,97.94,303600
2000-10-03,98.0,98.75,97.0,97.06,412600
2000-10-04,98.12,99.0,97.69,98.69,382200
2000-10-05,98.0,98.19,97.0,97.56,150200
2000-10-06,98.38,99.12,96.88,97.81,180200
2000-10-09,97.75,98.06,95.0,97.38,201500
2000-10-10,98.0,98.31,96.56,96.94,249100
2000-10-11,95.0,95.0,92.88,93.5,439400
2000-10-12,94.5,94.75,92.25,92.75,356100
2000-10-13,92.75,95.25,92.75,95.12,311900
2000-10-16,93.5,93.75,92.12,93.62,176800
2000-10-17,93.12,93.31,90.62,91.81,286500
2000-10-18,88.94,89.69,87.06,89.62,352900
2000-10-19,93.75,95.81,91.75,94.19,427100
2000-10-20,94.0,97.12,94.0,97.0,335800
2000-10-23,94.56,95.5,94.06,95.44,164200
2000-10-24,95.94,98.44,95.56,97.25,357800
2000-10-25,96.12,96.56,94.62,95.06,377900
2000-10-26,93.0,93.19,88.69,90.75,1603600
2000-10-27,89.5,89.62,86.5,87.06,441100
2000-10-30,84.25,85.0,82.69,83.56,749400
2000-10-31,81.5,83.19,81.12,83.0,760000
2000-11-01,84.25,84.69,83.44,83.44,503900
2000-11-02,84.12,86.25,83.69,86.06,436500
2000-11-03,87.38,88.0,85.88,86.31,419200
2000-11-06,88.56,88.56,86.69,87.5,297200
2000-11-07,85.88,85.94,84.81,85.19,333200
2000-11-08,86.25,86.31,83.88,83.94,268800
2000-11-09,83.81,84.38,82.75,83.75,365500
2000-11-10,82.5,82.5,80.38,80.75,370100
2000-11-13,78.25,79.5,77.0,79.06,481600
2000-11-14,80.0,81.44,79.81,80.88,399300
2000-11-15,79.25,79.5,78.31,79.0,307800
2000-11-16,76.38,77.12,75.81,75.88,328600
2000-11-17,76.06,77.19,75.31,75.62,482400
2000-11-20,75.0,75.0,73.12,73.31,258900
2000-11-21,72.5,73.31,72.38,72.94,349600
2000-11-22,72.38,73.19,72.06,72.19,293700
2000-11-24,74.88,77.0,74.75,75.75,279000
2000-11-27,82.0,82.0,80.19,80.44,709900
2000-11-28,80.0,81.5,79.31,79.56,434000
2000-11-29,77.62,77.94,76.44,77.19,553600
2000-11-30,75.25,75.31,73.31,74.5,380200
2000-12-01,75.0,75.62,74.0,74.56,491800
2000-12-04,75.88,76.94,75.88,76.5,492600
2000-12-05,76.06,80.5,75.88,80.19,735600
2000-12-06,78.75,79.75,77.31,77.62,589600
2000-12-07,77.19,78.56,77.19,78.25,180600
2000-12-08,78.94,79.38,77.62,78.62,277700
2000-12-11,81.5,81.94,80.62,81.69,252500
2000-12-12,80.0,80.38,79.5,80.19,184100
2000-12-13,80.25,80.5,78.75,79.0,257800
2000-12-14,78.88,78.88,75.62,76.31,290600
